04011334;Neue Vahr Südwest (Ortsteil);2014;48;40;8;28;21;7;17;16;1;5;5;0;5;5;0;8;4;4;7;10;-3;0;0;0
04011335;Neue Vahr Südost (Ortsteil);2014;111;95;16;83;56;27;62;38;24;27;8;19;14;12;2;0;3;-3;13;22;-9;1;2;-1
0401134;Horn-Lehe (Stadtteil);2014;640;613;27;297;353;-56;218;271;-53;139;138;1;87;40;47;74;63;11;176;154;22;6;3;3
04011341;Horn (Ortsteil);2014;61;48;13;8;37;-29;3;24;-21;2;10;-8;32;2;30;1;1;0;20;8;12;0;0;0
04011342;Lehe (Ortsteil);2014;448;444;4;210;240;-30;147;193;-46;107;104;3;44;28;16;66;54;12;124;119;5;4;3;1
04011343;Lehesterdeich (Ortsteil);2014;131;121;10;79;76;3;68;54;14;30;24;6;11;10;1;7;8;-1;32;27;5;2;0;2
04011351;Borgfeld (Ortsteil);2014;57;49;8;28;34;-6;19;25;-6;8;6;2;5;3;2;7;6;1;15;6;9;2;0;2
0401136;Oberneuland (Stadtteil);2014;133;120;13;77;67;10;70;47;23;36;19;17;3;7;-4;14;14;0;38;32;6;1;0;1
04011361;Oberneuland (Ortsteil);2014;133;120;13;77;67;10;70;47;23;36;19;17;3;7;-4;14;14;0;38;32;6;1;0;1
0401137;Osterholz (Stadtteil);2014;513;329;184;376;244;132;280;166;114;46;22;24;51;27;24;6;5;1;77;49;28;3;4;-1
04011371;Ellener Feld (Ortsteil);2014;32;15;17;26;14;12;18;9;9;1;2;-1;2;1;1;0;0;0;4;0;4;0;0;0
04011372;Ellenerbrok-Schevemoor (Ortsteil);2014;174;100;74;138;79;59;101;55;46;11;8;3;10;9;1;5;1;4;21;9;12;0;2;-2
04011373;Tenever (Ortsteil);2014;203;131;72;143;89;54;116;64;52;19;7;12;17;10;7;1;3;-2;40;29;11;2;0;2
04011374;Osterholz (Ortsteil);2014;34;28;6;22;24;-2;9;14;-5;2;2;0;6;2;4;0;0;0;5;1;4;1;1;0
04011375;Blockdiek (Ortsteil);2014;70;55;15;47;38;9;36;24;12;13;3;10;16;5;11;0;1;-1;7;10;-3;0;1;-1
0401138;Hemelingen (Stadtteil);2014;1089;668;421;778;496;282;596;386;210;126;81;45;92;39;53;35;31;4;177;100;77;7;2;5
04011381;Sebaldsbrück (Ortsteil);2014;238;162;76;158;118;40;114;87;27;17;23;-6;14;12;2;6;6;0;55;25;30;5;1;4
04011382;Hastedt (Ortsteil);2014;424;256;168;270;172;98;214;139;75;68;31;37;61;17;44;20;18;2;72;49;23;1;0;1
04011383;Hemelingen (Ortsteil);2014;289;175;114;246;147;99;200;110;90;33;15;18;10;7;3;7;3;4;25;18;7;1;0;1
04011384;Arbergen (Ortsteil);2014;77;24;53;52;17;35;30;14;16;2;5;-3;7;0;7;1;4;-3;17;3;14;0;0;0
04011385;Mahndorf (Ortsteil);2014;61;51;10;52;42;10;38;36;2;6;7;-1;0;3;-3;1;0;1;8;5;3;0;1;-1
040114;West (Stadtbezirk);2014;2573;1386;1187;1880;1024;856;1520;732;788;331;203;128;177;83;94;96;80;16;390;193;197;30;6;24
04011411;Blockland (Ortsteil);2014;3;6;-3;.;6;.;.;6;.;.;0;.;.;0;.;.;0;.;.;0;.;.;0;.
0401142;Findorff (Stadtteil);2014;339;347;-8;192;232;-40;150;177;-27;77;74;3;25;20;5;40;40;0;72;54;18;10;1;9
04011421;Regensburger Straße (Ortsteil);2014;132;88;44;77;59;18;62;43;19;19;16;3;12;8;4;17;10;7;25;10;15;1;1;0
04011422;Findorff-Bürgerweide (Ortsteil);2014;110;118;-8;57;77;-20;50;61;-11;34;26;8;6;7;-1;11;13;-2;30;21;9;6;0;6
